Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA,V41690973,V41690914,STATIC_TOTALCPICHANGE,CPI_TRIM,CPI_MEDIAN,CPI_COMMON,ATOM_V41693242,STATIC_CPIXFET,CPIW,Open,High,Low,Close,Adj Close,Volume,Prime Rate,Bank of Canada Overnight Rate
01-02-2006,115.6,116.3,114.9,115.6,111.1,114.6,255800,273000,223100,316400,227000,196800,108,108.5,2.2,1.8,1.8,2,1.7,1.3,1.8,11962.79981,12080.5,11458.40039,11688.29981,11688.29981,3608163800,5.25,3.5
01-03-2006,117.2,118.1,116.5,117.2,112.2,115.9,259300,277200,226200,320900,229300,199000,108.6,108.6,2.2,1.8,1.9,2,1.7,1.4,1.8,11694.7002,12287.5,11649.40039,12110.59961,12110.59961,3957488300,5.5,3.75
01-04-2006,119,119.9,118.3,118.9,113.8,117.5,263200,281400,229800,325500,232500,201800,109.2,109.1,2.4,1.8,1.8,1.9,1.6,1.7,1.7,12200.7002,12494.7002,12110.59961,12204.2002,12204.2002,3406152500,5.75,4
01-05-2006,120.7,121.6,120.2,120.5,115.5,119.2,267000,285500,233400,329800,236000,204700,109.7,109.2,2.8,1.9,2,2,2,1.8,2,12289.2002,12420.59961,11345.09961,11744.5,11744.5,4295340200,6,4.25
01-06-2006,122.4,123.4,122.1,122,117.5,120.7,270800,289600,237100,333900,240000,207200,109.5,109.1,2.4,1.8,1.8,1.8,1.7,1.4,1.8,11695,11932.40039,10860.7002,11612.90039,11612.90039,3775487000,6,4.25
01-07-2006,124.1,125,123.8,123.4,119,122.5,274400,293400,240500,337800,243100,210300,109.6,109.2,2.3,2,2,2,2,1.9,2,11670.2002,11929.90039,11410.40039,11831,11831,3136692400,6,4.25
01-08-2006,125.7,126.6,125.6,124.8,120.7,124.3,278000,297100,244000,341700,246500,213400,109.8,109.4,2.1,2.1,2,2.1,2,2,2,11864.09961,12226.59961,11817.5,12073.79981,12073.79981,3675088700,6,4.25
01-09-2006,127.2,128.2,127.1,126.4,121.9,126.2,281300,300800,246900,346100,249000,216600,109.2,109,0.7,2.3,2.1,2.1,2.3,2.2,1.8,12121.59961,12210.90039,11464.59961,11761.29981,11761.29981,4193771000,6,4.25
01-10-2006,128.3,129.4,128.6,127.1,123.4,126.8,283800,303600,249800,348100,252200,217700,109,109.1,1,2.4,2.1,2.3,2.4,2.4,2,11767.40039,12415.90039,11407.29981,12344.59961,12344.59961,4475722400,6,4.25
01-11-2006,129.5,130.6,130.1,128.2,124.5,127.7,286400,306500,252600,350900,254300,219200,109.2,109.5,1.4,2.5,2.2,2.4,2.2,2.1,2.1,12023.29981,12782.59961,12002.59961,12752.40039,12752.40039,4723027800,6,4.25
01-12-2006,130.9,132,132,129.2,125.8,128.8,289500,309900,256400,353800,257100,221200,109.4,109.9,1.7,2.5,2.2,2.2,2.1,2.1,2,12757.40039,13053.2002,12665.90039,12908.40039,12908.40039,3088822000,6,4.25
01-01-2007,132.4,133.6,133.7,130.6,126.9,130.2,292800,313500,259600,357500,259300,223500,109.4,110.2,1.1,2.5,2.3,2.2,2.3,2.3,2,12924.5,13074.09961,12412.59961,13034.09961,13034.09961,4150428500,6,4.25
01-02-2007,134.1,135.5,135.6,132.4,128,131.5,296600,318100,263300,362400,261600,225700,110.2,110.6,2,2.8,2.5,2.5,2.3,2.4,2.3,13090.7002,13433,12947.90039,13045,13045,3861226900,6,4.25
01-03-2007,135.8,137.2,137.4,133.8,129.7,133,300300,322000,266900,366400,265000,228300,111.1,111.2,2.3,2.8,2.4,2.5,2.3,2.4,2.3,12920,13308.09961,12661.5,13165.5,13165.5,4271469800,6,4.25
01-04-2007,137.3,138.9,138.9,135.4,130.7,134.4,303600,325900,269700,370600,267000,230800,111.6,111.5,2.2,2.8,2.5,2.6,2.5,2.5,2.5,13185.29981,13713.09961,13165.5,13416.7002,13416.7002,4050566100,6,4.25
01-05-2007,139.1,140.8,141.2,137.1,132,135.9,307700,330500,274200,375300,269600,233300,112.1,111.5,2.2,2.8,2.5,2.6,2.2,2.4,2.3,13430.2002,14216.2002,13305.09961,14056.79981,14056.79981,4790405400,6,4.25
01-06-2007,140.7,142.5,143.1,138.5,133.1,137.3,311200,334400,277900,379200,271900,235700,111.9,111.3,2.2,2.9,2.7,2.6,2.5,2.7,2.4,14084.5,14209.40039,13535.29981,13906.59961,13906.59961,4675035500,6,4.25
01-07-2007,142.1,144,144.7,139.8,134.1,138.5,314400,338000,281100,382900,273900,237800,112,111.4,2.2,2.7,2.6,2.5,2.3,2.4,2.3,14001.40039,14646.79981,13705,13868.59961,13868.59961,4474079300,6.25,4.5
01-08-2007,143.3,145.3,145.9,141,135.1,139.5,317000,341000,283400,386100,276100,239600,111.7,111.3,1.7,2.5,2.5,2.4,2.2,2.2,2.1,13751.79981,13868.59961,12463.79981,13660.5,13660.5,4721564300,6.25,4.5
01-09-2007,144.4,146.5,147.3,142.1,135.7,140.7,319500,343900,286100,389200,277200,241500,111.9,111.7,2.5,2.5,2.6,2.4,2,2.1,2.2,13673.7002,14167.29981,13539.90039,14098.90039,14098.90039,4226559100,6.25,4.5
01-10-2007,145.6,147.8,148.5,143.2,136.4,141.7,322100,346800,288400,392200,278700,243300,111.6,111.9,2.4,2.3,2.5,2.3,1.8,1.9,2.1,14113.09961,14625,13869.09961,14625,14625,5344499900,6.25,4.5
01-11-2007,146.7,148.8,149.5,144.3,137.3,142.9,324400,349300,290400,395000,280500,245400,111.9,112.2,2.5,2.2,2.3,2.1,1.6,1.8,2,14485.7002,14625,13190.09961,13689.09961,13689.09961,5057926500,6.25,4.5
01-12-2007,147.8,150,150.3,145.5,138.2,144.1,327000,352000,291900,398400,282400,247500,112,112.6,2.4,2.2,2.4,2.2,1.5,1.7,2,13671.59961,14027.2002,13295.59961,13833.09961,13833.09961,3587962200,6,4.25
01-01-2008,148.6,150.8,151.2,146.3,139.1,144.9,328700,354000,293600,400600,284200,248800,111.8,112.4,2.2,2.3,2.5,2.4,1.4,1.9,2.1,13907.7002,14037.7002,11982.90039,13155.09961,13155.09961,5246150100,5.75,4
01-02-2008,148.9,151.2,151.5,146.5,139.5,145.2,329300,354800,294200,401200,284900,249300,112.2,112.6,1.8,2.2,2.5,2.3,1.5,1.8,2.1,13202.59961,13891.79981,12747.59961,13582.7002,13582.7002,4505827300,5.75,4
01-03-2008,148.9,151.1,151.5,146.4,139.8,145.6,329400,354600,294300,400900,285600,250000,112.6,112.8,1.4,2,2.4,2.1,1.3,1.6,1.8,13622.5,13667.59961,12453.90039,13350.09961,13350.09961,5009775900,5.25,3.5
01-04-2008,148.5,150.6,151.1,145.9,139.9,145.1,328400,353500,293400,399400,285800,249200,113.5,113.3,1.7,2.3,2.5,2.3,1.5,1.7,2,13337.7002,14372.29981,13254,13937,13937,4755252900,4.75,3
01-05-2008,147.6,149.6,150.2,145,139.5,144.5,326400,351200,291700,396900,285100,248100,114.6,114.1,2.2,2.3,2.4,2.4,1.5,1.7,2.2,13920.29981,15128.59961,13846.59961,14714.7002,14714.7002,4794265700,4.75,3
01-06-2008,146.8,148.8,149.3,144.2,138.9,143.7,324700,349300,290000,394700,283800,246800,115.4,114.9,3.1,2.3,2.5,2.6,1.5,1.7,2.6,14673.90039,15154.79981,14156.5,14467,14467,4708141000,4.75,3
01-07-2008,145.7,147.7,148.1,143.1,138.2,142.8,322300,346700,287600,391800,282300,245200,115.8,115.4,3.4,2.4,2.6,2.6,1.5,1.7,2.6,14573.5,14584.90039,13157.90039,13592.90039,13592.90039,5117166900,4.75,3
01-08-2008,144.8,146.8,147.4,142.1,137.3,141.9,320300,344600,286200,389100,280500,243600,115.6,115.4,3.5,2.6,2.7,2.8,1.7,1.7,2.8,13645.09961,13771.29981,13015.90039,13771.29981,13771.29981,4070964700,4.75,3
